Word,Pos,Neg,Attr
a,0.125,0.25,n
a,0,0,n
a,0,0,n
a,0,0,n
a,0,0,n
a,0,0,n
a,0,0,n
a._a._michelson,0,0,n
a._a._milne,0,0,n
a._conan_doyle,0,0,n
a._e._burnside,0,0,n
a._e._housman,0.125,0,n
a._e._kennelly,0,0,n
a._e._w._mason,0,0,n
a._noam_chomsky,0,0,n
a._testudineus,0,0,n
a.d.,0,0,r
a.e.,0,0,n
a.k.a.,0,0,r
a.m.,0,0,a
a.m.,0,0,r
a_battery,0,0,n
a_bit,0,0,r
a_capella_singing,0,0,n
a_cappella,0,0,a
a_cappella,0,0,r
a_cappella_singing,0,0,n
a_couple_of,0,0,a
a_few,0,0,a
a_fortiori,0.25,0,r
a_good_deal,0.25,0,r
a_great_deal,0.375,0,r
a_great_deal,0.25,0,r
a_horizon,0,0,n
a_hundred_times,0,0,r
a_kempis,0,0,n
a_la_carte,0,0,a
a_la_carte,0,0,n
a_la_carte,0,0,r
a_la_mode,0,0,a
a_la_mode,0,0,r
a_level,0,0,n
a_little,0,0,r
a_lot,0.25,0,r
a_million_times,0,0,r
a_posteriori,0.125,0.125,a
a_posteriori,0.125,0,a
a_posteriori,0,0,r
a_priori,0.25,0,a
a_priori,0,0.25,a
a_priori,0,0,r
a_trifle,0,0,r
aa,0,0,n
aa,0,0,n
aa,0,0,n
aaa,0.25,0.125,n
aachen,0,0,n
aah,0,0,v
aaland_islands,0,0,n
aalborg,0,0,n
aalii,0,0,n
aalst,0,0,n
aalto,0,0,n
aar,0,0,n
aardvark,0,0,n
aardwolf,0,0,n
aare,0,0,n
aare_river,0,0,n
aarhus,0,0,n
aaron,0,0,n
aaron,0,0,n
aaron_burr,0,0,n
aaron_copland,0,0,n
aaron_montgomery_ward,0,0,n
aaron's_rod,0,0.125,n
aarp,0,0,n
aas,0,0,n
aave,0,0,n
ab,0,0,n
ab,0,0,n
ab,0,0,n
ab,0,0,n
ab_initio,0,0,r
aba,0,0,n
aba,0,0,n
aba_transit_number,0,0,n
abaca,0,0,n
abaca,0,0,n
abacinate,0,0,v
aback,0.125,0.125,r
aback,0,0,r
abactinal,0,0,a
abacus,0,0,n
abacus,0,0,n
abadan,0,0,n
abaft,0,0,r
abalone,0,0,n
abamp,0,0,n
abampere,0,0,n
abandon,0.125,0.375,n
abandon,0,0.375,n
abandon,0,0.375,v
abandon,0,0.125,v
abandon,0,0.125,v
abandon,0,0.125,v
abandon,0,0,v
abandoned,0.5,0,a
abandoned,0,0.375,a
abandoned_infant,0,0,n
abandoned_person,0,0.375,n
abandoned_ship,0,0,n
abandonment,0,0.5,n
abandonment,0,0,n
abandonment,0,0,n
abarticulation,0,0,n
abase,0,0.625,v
abasement,0.625,0.375,n
abasement,0,0.125,n
abash,0,0.25,v
abashed,0,0.375,a
abashment,0.125,0.5,n
abasia,0.125,0.625,n
abasia_trepidans,0,0.375,n
abasic,0.125,0.375,a
abatable,0.625,0,a
abatable_nuisance,0,0.125,n
abate,0,0.25,v
abate,0,0,v
abatement,0,0.125,n
abatement,0,0,n
abatement_of_a_nuisance,0,0,n
abatic,0.125,0.375,a
abatis,0,0,n
abator,0,0,n
abattis,0,0,n
abattoir,0,0,n
abaxial,0,0,a
abaxially,0.25,0,r
abaya,0,0,n
abb,0,0,n
abbacy,0,0,n
abbatial,0,0,a
abbe,0.125,0,n
abbe_condenser,0,0,n
abbess,0,0,n
abbey,0,0,n
abbey,0,0,n
abbey,0,0,n
abbot,0.5,0,n
abbott_lawrence_lowell,0,0,n
abbreviate,0,0,v
abbreviate,0,0,v
abbreviated,0,0,a
abbreviated,0,0,a
abbreviation,0,0,n
abbreviation,0,0,n
abbreviator,0,0,n
abc,0,0,n
abcoulomb,0,0,n
abcs,0,0,n
abc's,0,0,n
abdias,0,0.25,n
abdias,0,0,n
abdicable,0.5,0.125,a
abdicate,0,0,v
abdication,0,0,n
abdication,0,0,n
abdicator,0,0,n
abdomen,0,0,n
abdomen,0,0,n
abdominal,0,0,a
abdominal,0,0,n
abdominal_actinomycosis,0,0.125,n
abdominal_aorta,0,0,n
abdominal_aortic_aneurysm,0.25,0.125,n
abdominal_breathing,0,0.25,n
abdominal_cavity,0,0,n
abdominal_delivery,0,0,n
abdominal_external_oblique_muscle,0,0,n
abdominal_muscle,0,0,n
abdominal_nerve_plexus,0,0,n
abdominal_pregnancy,0,0,n
abdominal_wall,0,0,n
abdominocentesis,0,0,n
abdominoplasty,0,0,n
abdominous,0,0,a
abdominousness,0,0,n
abdominovesical,0,0,a
abduce,0,0,v
abducens,0,0,n
abducens_muscle,0,0,n
abducens_nerve,0,0,n
abducent,0,0,a
abducent,0,0,n
abducent_nerve,0,0,n
abduct,0,0.125,v
abduct,0,0,v
abducting,0,0,a
abduction,0,1,n
abduction,0,0,n
abductor,0,0,n
abductor,0,0,n
abductor_muscle,0,0,n
abeam,0,0,r
abecedarian,0,0,a
abecedarian,0,0,n
abecedarian,0,0,n
abecedarius,0,0,n
abed,0,0,r
abel,0,0,n
abel,0,0,n
abel_janszoon_tasman,0,0,n
abel_tasman,0,0,n
abelard,0,0,n
abele,0,0,n
abelia,0,0,n
abelian_group,0,0,n
abelmoschus,0,0,n
abelmoschus_esculentus,0,0,n
abelmoschus_moschatus,0,0,n
abelmosk,0,0,n
abenaki,0,0,n
aberdare,0,0,n
aberdeen,0,0,n
aberdeen,0,0,n
aberdeen,0,0,n
aberdeen,0,0,n
aberdeen_angus,0,0,n
aberdonian,0,0,a
aberrance,0.125,0,n
aberrancy,0.125,0,n
aberrant,0.5,0.125,a
aberrant,0,0,n
aberrate,0,0.25,v
aberrate,0,0,v
aberration,0.375,0,n
aberration,0.125,0,n
aberration,0,0.25,n
abet,0,0,v
abetalipoproteinemia,0,0.75,n
abetment,0,0,n
abettal,0,0,n
abetter,0,0,n
abettor,0,0,n
abeyance,0,0,n
abeyant,0.25,0.375,a
abfarad,0,0,n
abhenry,0,0,n
abhor,0,0.25,v
abhorrence,0,0.375,n
abhorrent,0,0.75,a
abhorrer,0,0,n
abidance,0.625,0,n
abidance,0,0,n
abidance,0,0,n
abide,0,0.5,v
abide,0,0,v
abide_by,0.375,0,v
abide_by,0,0,v
abiding,0.375,0,a
abidjan,0,0,n
abience,0,0,n
abient,0.5,0.25,a
abies,0,0,n
abies_alba,0,0,n
abies_amabilis,0,0,n
abies_balsamea,0,0,n
abies_bracteata,0,0,n
abies_concolor,0,0,n
abies_fraseri,0,0,n
abies_grandis,0,0,n
abies_lasiocarpa,0,0,n
abies_lowiana,0,0,n
abies_venusta,0,0,n
abila,0,0,n
abilene,0,0,n
abilene,0,0,n
ability,0.5,0,n
ability,0.125,0.125,n
abiogenesis,0,0,n
abiogenetic,0,0,a
abiogenist,0,0,n
abiotrophy,0.125,0.375,n
abject,0.625,0,a
abject,0.5,0.5,a
abject,0,1,a
abject,0,0.875,a
abjection,0,0.125,n
abjectly,0.375,0,r
abjuration,0,0.625,n
abjure,0,0.625,v
abjurer,0,0,n
abkhas,0,0,n
abkhas,0,0,n
abkhasian,0,0,n
abkhasian,0,0,n
abkhaz,0,0,a
abkhaz,0,0,n
abkhaz,0,0,n
abkhaz,0,0,n
abkhazia,0,0,n
abkhazian,0,0,a
abkhazian,0,0,n
abkhazian,0,0,n
ablactate,0,0,v
ablactation,0,0,n
ablactation,0,0,n
ablate,0,0.125,v
ablate,0,0,v
ablated,0,0.125,a
ablation,0,0,n
ablation,0,0,n
ablative,0.625,0,a
ablative,0,0,a
ablative,0,0,n
ablative_absolute,0,0,n
ablative_case,0,0,n
ablaut,0.5,0,n
ablaze,0.375,0.25,a
ablaze,0,0,a
ablaze,0,0,a
ablaze,0,0,a
able,0.25,0,a
able,0.125,0,a
able,0.125,0,a
able,0.125,0,a
able_seaman,0,0,n
able-bodied,0.25,0,a
able-bodied_seaman,0,0,n
able-bodiedism,0.25,0.125,n
able-bodism,0.25,0.125,n
ableism,0.25,0.125,n
ablepharia,0.5,0,n
ablism,0.25,0.125,n
abloom,0.125,0,a
abls,0,0,n
ablution,0,0,n
ablutionary,0,0,a
ably,0.375,0,r
abm,0,0,n
abnaki,0,0,a
abnaki,0,0,n
abnaki,0,0,n
abnegate,0.25,0,v
abnegate,0,0,v
abnegate,0,0,v
abnegation,0.125,0,n
abnegation,0,0,n
abnegator,0,0,n
abney_level,0,0,n
abnormal,0.5,0.125,a
abnormal,0,0.75,a
abnormal,0,0.25,a
abnormal_psychology,0.125,0,n
abnormalcy,0.25,0,n
abnormality,0.5,0,n
abnormality,0.25,0,n
abnormality,0.125,0.375,n
abnormality,0,0.625,n
abnormally,0.125,0,r
abo,0,0,n
abo_antibodies,0,0,n
abo_blood_group_system,0,0,n
abo_group,0,0,n
abo_system,0,0,n
aboard,0,0,r
aboard,0,0,r
aboard,0,0,r
aboard,0,0,r
abocclusion,0.125,0,n
abode,0,0,n
abode,0,0,n
abohm,0,0,n
abolish,0,0,v
abolishable,0.625,0,a
abolishment,0,0,n
abolition,0,0,n
abolitionary,0,0,a
abolitionism,0,0,n
abolitionist,0,0,n
abomasal,0,0,a
abomasum,0,0,n
a-bomb,0,0,n
abominable,0,0.875,a
abominable,0,0.25,a
abominable_snowman,0,0,n
abominably,0,0.75,r
abominably,0,0.375,r
abominate,0,0.25,v
abomination,0.125,0.125,n
abomination,0,0.375,n
abomination,0,0.125,n
abominator,0,0.375,n
abor,0,0,n
aborad,0,0,r
aboral,0,0,a
aboriginal,0,0,a
aboriginal,0,0,a
aboriginal,0,0,a
aboriginal,0,0,n
aboriginal,0,0,n
aboriginal_australian,0,0,n
aborigine,0,0,n
aborigine,0,0,n
abort,0.25,0.75,v
abort,0.125,0.75,v
abort,0,0.625,v
abort,0,0,n
aborticide,0,0,n
aborticide,0,0,n
abortifacient,0,0.375,a
abortifacient,0,0,n
abortion,0,0,n
abortion,0,0,n
abortion_pill,0,0,n
abortion-inducing_drug,0,0,n
abortionist,0,0,n
abortive,0,0.25,a
abortively,0.25,0,r
abortus,0,0,n
aboulia,0,0,n
aboulic,0,0.75,a
abound,0,0.125,v
abound,0,0,v
abound_in,0,0.125,v
abounding,0,0.25,a
about,0.5,0.25,r
about,0,0,a
about,0,0,r
about,0,0,r
about,0,0,r
about,0,0,r
about,0,0,r
about,0,0,r
about_turn,0,0,n
about-face,0,0,n
about-face,0,0,n
about-face,0,0,v
about-face,0,0,v
above,0.125,0,r
above,0,0.125,a
above,0,0,n
above,0,0,r
above_all,0,0,r
above_all,0,0,r
aboveboard,0.375,0,r
aboveboard,0.25,0.625,a
aboveground,0,0,a
above-mentioned,0,0.125,a
above-named,0,0.125,a
abracadabra,0,0,n
abrachia,0,0,n
abradant,0,0,n
abradant,0,0,n
abrade,0,0.125,v
abrade,0,0,v
abrader,0,0,n
abrading_stone,0,0,n
abraham,0,0,n
abraham_lincoln,0,0,n
abraham_stoker,0,0,n
abraham's_bosom,0,0,n
abramis,0,0,n
abramis_brama,0,0,n
abranchial,0,0,a
abranchiate,0,0,a
abranchious,0,0,a
abrase,0,0,v
abrasion,0,0.125,n
abrasion,0,0,n
abrasion,0,0,n
abrasive,0.333,0.667,a
abrasive,0,0.375,a
abrasive,0,0,n
abrasive_material,0,0,n
abrasiveness,0.444,0.556,n
abrasiveness,0,0,n
abreact,0,0.875,v
abreaction,0.375,0,n
abreast,0.25,0,a
abreast,0,0,r
abridge,0,0,v
abridge,0,0,v
abridged,0,0,a
abridgement,0,0,n
abridger,0,0,n
abridgment,0,0,n
abroach,0,0,a
abroad,0,0,a
abroad,0,0,r
abroad,0,0,r
abroad,0,0,r
abrocoma,0,0,n
abrocome,0,0,n
abrogate,0,0,v
abrogation,0,0,n
abrogator,0,0,n
abronia,0,0,n
abronia_elliptica,0,0,n
abronia_fragrans,0,0,n
abronia_latifolia,0,0,n
